num_forms,num_password_inputs,num_iframes,num_scripts,num_external_scripts,num_links,file_id,label
3,0,0,64,22,216,1220,1
3,0,0,90,54,596,1221,1
0,0,0,58,11,52,1222,1
4,0,1,33,13,160,1225,1
3,0,2,47,14,332,1226,1
1,0,0,5,3,65,1227,1
1,0,0,62,33,67,1228,1
3,0,0,25,3,92,1229,1
1,0,0,7,4,18,123,1
0,0,0,8,5,86,1230,1
1,0,0,12,9,167,1232,1
0,0,0,3,1,6,1234,1
0,0,1,22,18,37,1236,1
0,0,1,5,5,39,1237,1
2,0,0,11,5,100,1240,1
1,0,1,25,10,28,1242,1
0,0,0,2,1,0,1243,0
1,0,1,24,20,439,1244,1
2,0,0,10,5,156,1246,1
1,0,1,9,4,131,1247,1
0,0,0,3,1,1,1248,1
3,0,1,4,2,91,1249,1
4,0,1,55,16,254,1250,1
1,0,0,50,34,147,1251,1
1,0,1,20,11,107,1252,1
0,0,0,16,4,108,1256,1
3,0,0,64,45,122,1257,1
1,0,0,14,5,763,1259,1
1,0,0,49,31,18,1261,1
2,0,0,35,8,482,1262,1
1,0,0,15,7,87,1263,1
0,0,0,0,0,0,1265,0
1,0,0,8,6,154,1266,1
1,0,1,42,23,256,1267,1
11,0,4,38,24,392,1268,1
1,0,0,19,11,52,1269,1
0,0,1,4,2,58,1270,1
1,0,0,31,16,110,1271,1
2,0,3,43,41,118,1272,1
1,0,0,33,13,89,1273,1
3,0,1,88,51,210,1274,1
0,0,0,8,5,443,1277,1
1,0,0,25,17,144,1278,1
0,0,0,6,6,13,128,1
1,0,0,11,7,67,1281,1
1,0,5,34,19,45,1282,1
2,0,0,28,21,102,1283,1
1,0,0,10,8,114,1284,1
2,0,0,38,20,46,1285,1
1,0,0,33,13,347,1288,1
2,0,1,11,4,194,1289,1
1,0,0,19,11,92,129,1
0,0,0,4,3,72,1290,1
1,0,0,21,15,48,1291,1
3,0,0,15,10,449,1292,1
1,0,2,49,19,117,1294,1
1,0,0,31,12,56,1296,1
0,0,0,0,0,0,1298,1
2,1,0,16,12,85,13,1
3,0,0,44,21,161,1301,1
4,0,0,45,17,91,1303,1
4,0,0,1,0,18,1304,1
0,0,0,3,1,127,1306,1
2,0,0,22,6,82,1307,1
1,0,0,138,113,92,1309,1
6,0,0,55,20,57,131,1
0,0,0,10,10,0,1310,0
2,3,1,34,25,17,1312,1
0,0,0,5,4,68,1314,1
0,0,0,9,8,1,1315,0
2,0,0,14,11,130,1316,1
0,0,0,2,1,0,1318,0
4,1,0,13,10,87,132,1
0,0,0,0,0,63,1321,1
2,0,1,22,14,74,1322,1
0,0,0,0,0,0,1325,0
3,0,0,32,11,145,1326,1
0,0,0,23,12,69,1328,1
1,0,0,7,6,35,1330,1
1,0,0,69,47,107,1331,1
2,0,0,20,11,116,1333,1
1,0,1,16,8,179,1335,1
0,0,1,7,6,32,1339,1
1,0,1,19,14,60,134,1
1,0,0,15,11,32,1340,0
2,0,1,51,15,166,1341,1
0,0,0,17,16,48,1343,1
1,0,0,23,12,64,1345,1
0,0,1,39,21,58,1346,1
5,0,0,93,37,287,1348,1
0,0,0,5,5,69,135,1
1,0,0,4,4,139,1350,1
7,0,3,53,29,138,1351,1
1,0,0,19,11,43,1352,1
2,0,1,8,4,300,1353,1
4,0,0,41,15,105,1356,1
0,0,0,5,5,0,1357,1
6,0,1,14,3,90,1358,1
2,0,14,50,12,728,1359,1
5,0,5,65,30,204,1360,1
0,0,0,26,16,61,1361,1
1,0,0,18,9,87,1367,1
1,0,2,67,27,750,1369,1
2,0,2,5,1,344,137,1
1,0,0,58,37,85,1370,1
0,0,0,5,1,3,1371,1
0,0,2,46,13,222,1372,1
1,0,0,1,0,20,1373,1
1,0,1,11,3,44,1374,1
0,0,1,3,0,65,1377,1
1,0,0,11,6,66,1380,1
2,0,0,30,9,131,1382,1
0,0,0,42,24,81,1383,1
3,1,0,25,6,307,1384,1
10,0,1,42,15,278,1385,1
0,0,1,52,30,62,1386,1
3,0,0,26,15,318,1387,1
13,0,1,65,22,153,1388,1
0,0,0,2,0,101,1390,1
0,0,0,0,0,0,1391,0
1,0,0,5,4,65,1392,1
0,0,0,9,6,44,1397,1
1,0,0,13,5,486,1399,1
1,0,1,39,12,299,140,1
1,0,0,17,6,137,1401,1
0,0,1,3,2,0,1403,1
2,0,0,12,6,51,1405,1
5,2,0,73,41,110,1407,1
2,0,1,8,4,168,1408,1
1,0,0,4,2,108,1409,1
0,0,0,8,6,150,141,1
1,0,0,8,2,62,1411,1
0,0,0,24,13,103,1412,1
5,0,3,80,54,106,1414,1
2,0,0,7,5,48,1415,1
0,0,0,17,7,144,1416,1
1,0,0,13,10,73,1417,1
1,0,0,34,21,141,142,1
0,0,1,15,12,104,1420,1
0,0,1,29,12,101,1421,1
1,0,0,8,6,233,1422,1
0,0,0,16,8,46,1423,1
1,0,0,18,7,58,1424,1
2,0,0,37,11,100,1425,1
0,0,2,14,10,509,1426,1
1,0,1,10,4,31,1427,1
0,0,0,8,0,29,1429,1
0,0,0,30,19,39,143,1
1,0,0,47,33,79,1430,1
0,0,0,7,0,31,1433,1
1,0,0,14,8,168,1434,1
0,0,0,10,4,79,1435,1
4,0,0,55,23,406,1436,1
0,0,3,39,3,418,1437,1
3,0,1,7,5,127,1438,1
3,1,0,12,8,228,1439,1
0,0,1,2,0,269,144,1
0,0,0,4,1,7,1440,1
0,0,0,15,9,32,1442,1
0,0,3,19,13,83,1443,1
0,0,0,5,5,10,1444,0
1,0,0,23,17,46,1445,1
0,0,0,15,6,459,1446,1
18,0,0,41,9,98,1447,1
4,0,0,47,16,66,1451,1
9,2,0,15,8,89,1452,1
0,0,0,9,5,121,1453,1
9,2,0,52,3,364,1456,1
0,0,0,2,1,0,1457,0
0,0,1,16,12,10,146,1
3,0,0,42,17,122,1462,1
7,0,1,60,25,182,1463,1
0,0,1,6,2,16,1464,1
0,0,0,7,4,10,1467,1
1,0,0,31,14,74,1468,1
0,0,0,16,7,118,1469,1
0,0,0,5,5,45,1470,1
0,0,0,29,11,12,1472,1
0,0,2,34,22,44,1473,1
0,0,0,0,0,15,1474,1
2,0,0,27,19,111,1475,1
1,0,0,23,21,44,1476,1
0,0,0,5,3,179,1477,1
0,0,1,22,6,90,1478,1
0,0,1,12,6,405,1482,1
2,0,2,53,39,184,1483,1
0,0,0,1,0,3,1487,0
5,0,1,160,126,185,1488,1
0,0,1,3,3,101,149,1
1,0,0,29,19,111,1492,1
1,0,0,8,4,146,1494,1
0,0,0,19,3,22,1495,1
0,0,0,6,3,114,1497,1
1,0,1,27,3,253,1499,1
3,0,1,27,20,261,15,1
6,1,7,50,36,185,1502,1
1,0,0,8,4,23,1503,1
1,0,0,10,8,116,1504,1
1,0,0,25,24,55,1505,1
0,0,0,25,14,48,1506,1
0,0,0,30,24,11,1509,1
0,0,0,6,2,85,151,1
3,1,0,20,11,381,1510,1
2,0,0,31,22,127,1511,1
0,0,1,17,11,192,1513,1
0,0,0,0,0,2,1515,1
4,0,1,20,12,79,1519,1
1,0,0,1,1,149,1521,1
0,0,0,4,3,27,1522,1
1,0,0,14,11,37,1523,1
2,0,0,1,1,312,1524,1
0,0,0,11,7,11,1525,1
2,0,0,10,9,286,1527,1
3,1,0,9,2,163,1529,1
2,0,1,16,12,102,153,1
0,0,0,27,27,32,1530,1
4,0,1,12,6,51,1531,1
3,0,2,14,12,107,1533,1
0,0,1,7,4,35,1534,1
0,0,0,15,6,61,1535,1
3,0,4,106,64,88,1536,1
0,0,0,27,16,67,1537,1
2,0,0,68,35,236,1538,1
0,0,2,16,12,71,1539,1
4,0,0,3,3,27,154,1
0,0,0,42,34,43,1541,1
0,0,0,12,9,53,1542,1
2,0,1,35,3,107,1543,1
1,0,0,11,5,54,1544,1
0,0,1,10,5,18,1546,1
4,0,1,68,43,443,1547,1
0,0,0,31,12,34,1548,1
4,0,2,48,26,322,1549,1
1,0,2,23,13,32,155,1
1,0,0,5,3,168,1552,1
0,0,0,34,21,36,1553,1
5,0,2,81,34,232,1557,1
2,0,0,11,4,146,1558,1
4,0,0,57,24,370,1559,1
1,0,0,9,9,117,156,1
1,0,0,4,2,17,1560,0
1,0,0,44,11,183,1563,1
0,0,0,5,5,10,1566,0
0,0,1,49,24,35,1569,1
0,0,0,2,1,0,1571,0
1,0,0,36,17,141,1577,1
0,0,0,7,4,18,1579,1
3,0,1,20,14,84,158,1
1,0,5,26,17,192,1580,1
3,0,0,267,8,370,1581,1
0,0,1,26,8,180,1582,1
2,0,0,33,23,42,1583,1
0,0,0,3,1,10,1584,1
7,2,0,130,99,214,1585,0
2,0,1,10,7,122,1589,1
1,0,2,47,18,615,1590,1
1,0,0,13,0,73,1591,1
2,0,1,8,6,63,1592,1
2,0,0,12,11,172,1594,1
1,0,1,10,4,167,1595,1
1,0,1,17,7,318,1597,1
2,0,2,6,4,123,1598,1
0,0,0,5,4,0,16,1
2,0,1,54,43,103,160,1
1,0,0,12,8,47,1602,1
0,0,0,58,48,49,1603,1
1,0,2,21,13,110,1604,1
3,0,2,28,13,156,1605,1
2,0,1,22,12,289,1606,1
1,0,2,23,8,130,1608,1
0,0,0,2,0,12,1609,1
1,0,1,35,21,222,161,1
0,0,2,26,4,77,1610,1
4,0,0,19,10,213,1612,1
15,1,0,158,29,214,1613,1
1,0,0,2,1,215,1615,1
1,0,1,8,4,58,1618,1
1,0,1,34,20,38,1621,1
1,1,1,22,10,205,1622,1
1,0,0,2,1,47,1623,1
3,0,0,14,7,79,1628,1
0,0,0,10,10,24,1631,1
3,0,0,47,7,141,1632,1
0,0,1,30,12,105,1634,1
3,0,0,37,1,127,1635,1
0,0,0,6,3,4,1638,1
1,0,1,18,13,176,1639,1
15,0,1,54,31,608,164,1
1,0,0,22,20,75,1641,1
3,0,2,52,14,272,1642,1
0,0,0,1,0,0,1644,0
3,0,0,43,18,96,1647,1
1,0,0,34,23,83,1648,1
1,0,0,39,14,62,165,1
1,0,2,6,2,36,1650,1
0,0,0,0,0,0,1651,0
0,0,0,2,1,0,1652,0
3,0,0,42,29,69,1654,1
0,0,0,4,2,70,1656,1
4,0,0,48,14,89,1657,1
0,0,0,0,0,0,1660,1
2,0,2,28,6,112,1662,1
1,0,0,56,11,47,1663,0
1,0,1,24,8,30,1664,1
2,0,1,14,10,126,1665,1
2,0,2,40,22,133,1666,1
28,0,0,33,7,252,1667,1
1,0,0,41,34,160,1668,1
0,0,0,10,8,61,1669,1
5,0,0,33,7,90,167,1
2,0,0,59,39,83,1670,1
2,0,2,68,42,80,1673,1
1,0,0,9,8,193,1674,1
1,0,0,2,0,97,1676,1
0,0,0,24,19,111,1677,1
2,0,0,38,11,73,1678,1
1,0,0,29,14,232,1679,1
0,0,0,64,44,190,1681,1
1,0,0,8,4,53,1683,1
1,0,0,6,4,25,1686,1
0,0,0,2,1,0,1687,0
2,0,1,16,2,181,1689,1
2,0,0,10,7,77,169,1
1,0,0,65,55,65,1690,1
0,0,0,1,0,0,1691,0
0,0,0,35,14,48,1692,1
1,0,1,29,22,78,1693,1
2,0,0,3,2,636,1695,1
1,0,0,43,13,66,1696,1
0,0,1,22,6,125,1697,1
7,0,1,41,11,170,170,1
0,0,1,24,13,62,1702,1
1,0,0,0,0,60,1703,1
2,0,1,19,6,309,1704,1
2,0,0,9,8,28,1706,1
2,0,0,12,10,267,1707,1
1,0,0,19,14,209,1708,1
3,0,0,38,18,70,171,1
0,0,0,4,2,1,1710,0
1,0,0,40,24,201,1712,1
1,0,0,8,7,17,1714,1
2,0,0,4,2,57,172,1
0,0,2,16,9,261,1720,1
0,0,0,9,6,92,1722,1
4,1,0,5,3,35,1723,1
1,0,0,14,10,237,1725,1
4,0,3,19,10,275,1728,1
3,0,0,63,30,83,1730,1
0,0,0,17,7,273,1734,1
0,0,1,43,23,103,1736,1
0,0,0,4,1,47,1737,1
1,0,0,13,10,19,1738,1
1,0,0,30,12,131,1739,1
1,0,0,37,10,61,1740,1
2,0,1,13,6,35,1741,1
2,0,0,14,8,91,1744,1
0,0,0,18,16,98,1747,1
3,0,0,6,4,76,1749,0
1,0,0,53,33,127,175,1
0,0,4,11,7,60,1752,1
4,0,0,41,23,118,1754,1
0,0,0,5,1,12,1755,1
0,0,0,2,0,34,1758,1
0,0,0,31,12,209,1759,1
0,0,0,8,7,9,176,1
6,0,1,68,23,615,1761,1
0,0,0,15,10,75,1762,0
1,0,1,17,13,29,1763,1
2,0,0,51,16,458,1764,1
3,0,1,13,9,401,1765,1
0,0,0,2,1,0,1766,1
1,0,0,8,5,33,1767,1
1,0,0,24,18,87,1768,1
2,0,0,47,26,156,177,1
3,0,0,33,15,111,1771,1
1,0,0,4,0,16,1773,1
3,0,2,20,9,182,1774,1
6,2,0,31,10,218,1775,1
0,0,1,15,6,216,1776,1
1,0,0,62,35,64,1777,1
0,0,0,1,0,1,1779,0
2,0,1,14,5,187,178,1
3,0,0,22,14,44,1780,1
1,0,0,30,19,56,1782,1
1,0,0,27,25,59,1783,0
2,0,1,13,4,302,1784,1
1,0,2,43,12,131,1786,1
0,0,1,2,0,11,1787,1
0,0,1,57,9,460,1788,1
1,0,0,7,7,29,1789,1
1,0,8,19,6,914,179,1
2,0,0,38,12,129,1791,1
3,0,0,49,7,198,1793,1
0,0,0,0,0,103,1794,1
5,0,1,9,8,369,1795,1
1,0,0,27,16,98,1797,1
1,0,1,34,13,70,1799,1
4,0,1,55,10,134,18,1
0,0,0,7,5,1,1800,1
0,0,0,19,15,94,1802,1
0,0,0,2,1,1,1804,1
3,0,2,56,29,73,1805,1
0,0,0,0,0,0,1806,0
0,0,0,11,5,43,1809,1
1,0,1,12,7,253,1810,1
4,0,0,19,11,350,1811,1
0,0,0,8,4,672,1812,1
3,2,0,61,2,75,1818,1
2,0,1,114,29,239,1819,1
7,2,0,75,50,154,1820,1
0,0,1,1,0,1,1821,0
2,0,0,44,20,41,1823,1
1,0,0,35,22,208,1824,1
0,0,0,0,0,0,1825,1
1,0,1,6,5,164,1826,1
7,1,0,67,38,399,1827,1
0,0,0,8,6,0,1829,0
1,0,0,23,18,216,183,1
1,0,1,5,2,227,1830,1
1,0,2,49,8,653,1831,1
1,0,1,15,8,117,1832,1
0,0,0,0,0,1,1834,0
1,0,2,34,16,51,1837,1
0,0,0,2,1,0,1838,1
2,0,0,4,2,290,1839,1
2,0,0,19,12,131,184,1
2,0,0,62,58,80,1841,1
0,0,1,7,4,37,1842,1
0,0,2,11,8,58,1843,1
2,0,0,43,25,63,1845,1
1,0,0,24,6,125,1846,1
3,0,0,6,2,216,185,1
1,0,1,13,8,155,1850,1
4,0,2,47,25,149,1851,1
0,0,0,1,0,0,1852,0
1,0,2,66,8,376,1854,1
0,0,1,35,29,83,1855,1
0,0,1,12,0,213,1857,1
1,0,2,8,7,133,1858,1
4,3,1,13,5,44,1861,1
2,0,0,57,28,38,1865,1
7,0,1,48,21,67,1866,1
0,0,0,6,6,101,1867,1
5,0,1,48,41,418,1869,0
1,0,2,15,12,95,187,1
3,0,1,39,11,280,1870,1
1,0,0,19,13,128,1875,1
2,0,0,3,1,15,1876,1
0,0,0,14,14,13,1878,1
1,0,0,10,8,77,1879,1
2,0,0,48,5,148,188,1
4,0,0,82,17,465,1881,1
1,0,2,19,14,49,1882,1
0,0,0,36,23,72,1883,1
0,0,0,0,0,0,1884,0
0,0,0,0,0,0,1885,0
0,0,0,3,1,5,1886,1
4,0,2,56,34,260,1887,1
0,0,1,41,26,102,1888,1
1,0,0,43,24,98,1889,1
0,0,0,20,12,39,189,1
0,0,0,0,0,27,1892,1
12,1,0,51,35,243,1896,1
3,0,1,35,7,136,1897,1
4,0,0,15,12,108,1899,1
3,0,1,101,32,361,19,1
2,0,1,66,49,166,190,1
2,0,1,12,7,165,1900,1
3,0,0,36,20,180,1901,1
0,0,0,53,10,18,1902,1
1,0,1,12,10,93,1904,1
1,0,1,5,2,118,1905,1
2,0,0,27,20,113,1906,1
0,0,0,0,0,0,1909,1
0,0,0,8,3,23,1912,1
2,0,1,9,3,225,1913,1
0,0,1,5,3,35,1915,1
1,0,1,7,4,30,1918,1
3,1,1,60,34,143,192,1
0,0,0,27,20,36,1923,1
0,0,0,2,0,14,1924,0
0,0,0,7,5,16,1925,1
1,0,0,45,33,59,1926,1
0,0,1,54,34,69,1927,1
0,0,0,0,0,1,1928,1
0,0,0,6,2,4,193,1
3,0,0,49,17,293,1931,1
1,0,1,24,11,24,1932,1
0,0,0,14,7,90,1933,1
4,0,0,22,17,316,1934,1
0,0,2,27,5,72,1935,1
2,0,0,41,22,39,1936,1
1,0,0,11,9,105,1937,1
2,0,0,7,5,115,1938,1
6,1,1,43,41,118,1939,1
0,0,0,6,2,297,1942,1
2,0,1,48,21,345,1944,1
0,0,0,0,0,0,1947,0
0,0,0,2,1,0,1948,0
0,0,0,3,1,8,1949,1
0,0,0,23,17,52,1950,1
1,0,0,24,10,595,1951,1
0,0,1,17,7,18,1952,1
1,0,1,17,8,32,1955,1
1,0,0,71,43,90,1956,1
1,0,2,27,14,178,1957,1
1,0,0,14,3,90,1959,1
0,0,0,12,10,32,196,1
1,0,1,47,25,94,1960,1
0,0,3,9,6,49,1961,1
1,0,0,21,15,95,1963,1
1,0,0,14,5,114,1965,1
1,0,1,37,31,158,1966,1
1,0,0,12,8,383,1967,1
1,0,1,5,3,78,1968,1
1,0,1,27,11,317,1969,1
3,0,1,20,17,537,1970,1
0,0,0,24,10,29,1973,1
0,0,0,2,1,0,1974,0
1,0,0,10,6,558,1975,1
2,0,1,6,2,78,1976,1
4,0,0,45,22,74,1977,1
3,1,0,27,15,89,1979,1
3,0,2,67,39,424,1980,1
0,0,0,7,7,79,1981,1
1,0,0,12,8,296,1982,1
1,0,1,32,18,237,1983,1
1,0,3,92,41,265,1986,1
0,0,1,1,1,0,1987,1
1,0,0,8,8,69,1988,1
1,0,0,18,12,822,1989,1
1,0,1,8,5,211,1990,1
2,0,2,44,0,57,1991,1
0,0,0,2,1,0,1992,0
0,0,0,10,6,51,1995,1
3,0,0,2,0,195,1997,1
1,0,0,14,6,113,1999,1
0,0,0,76,55,2,2,1
0,0,0,3,2,48,20,1
1,0,0,19,12,45,2000,1
0,0,0,18,12,0,2017,0
0,0,0,5,4,17,202,1
5,1,1,30,6,1024,203,1
0,0,0,2,1,0,2035,0
3,0,1,16,6,112,204,1
0,0,0,0,0,0,2046,0
0,0,0,13,6,84,206,1
0,0,0,1,0,210,207,1
1,0,0,7,3,56,2076,0
0,0,0,0,0,0,2079,0
1,0,1,11,6,50,208,1
2,0,0,19,9,90,209,1
0,0,0,5,2,0,2091,0
2,0,0,44,26,142,211,1
0,0,0,8,6,0,2129,0
0,0,0,0,0,0,2131,0
0,0,1,6,3,2,215,1
0,0,0,7,5,124,216,1
0,0,0,0,0,0,217,0
1,0,1,70,21,144,218,1
1,0,0,10,6,23,219,1
0,0,0,3,3,25,2195,0
0,0,0,0,0,0,2207,0
1,0,1,26,12,151,221,1
0,0,0,2,1,0,2216,0
0,0,2,22,4,57,222,1
1,0,0,54,10,52,2228,0
1,0,0,22,12,54,223,1
0,0,0,0,0,0,2238,0
1,0,0,12,7,206,224,1
4,0,1,54,31,89,225,1
0,0,0,1,0,2,2252,0
0,0,0,2,1,0,2254,0
0,0,1,32,11,87,226,1
0,0,0,0,0,0,227,1
0,0,1,0,0,0,2273,0
0,0,0,0,0,0,228,0
0,0,0,33,15,84,2289,0
1,0,1,23,9,84,229,1
2,0,1,27,3,120,23,1
0,0,0,19,15,109,230,1
0,0,0,3,2,2,2302,0
2,0,1,11,5,60,231,1
0,0,0,0,0,0,2318,0
2,0,0,17,4,113,232,1
0,0,0,0,0,0,2339,0
0,0,0,5,2,0,2343,0
0,0,2,11,6,55,236,1
1,0,0,7,3,215,237,1
0,0,0,1,0,21,238,0
1,0,0,14,14,143,239,1
0,0,1,19,5,376,24,1
2,0,0,22,13,137,240,1
1,0,1,17,9,121,242,1
0,0,0,0,0,0,2434,0
0,0,0,1,0,0,2456,0
1,0,0,135,113,141,249,1
0,0,0,0,0,0,2490,0
2,0,0,25,22,104,25,1
1,0,1,10,3,200,251,1
0,0,0,28,19,50,2512,0
2,1,0,6,0,6,2531,0
1,0,0,6,4,6,2538,0
2,0,2,82,55,374,255,1
1,0,1,6,3,12,2557,0
0,0,0,15,7,9,2558,0
0,0,0,12,7,39,256,1
0,0,0,0,0,0,2563,0
1,0,0,17,7,203,258,1
2,0,1,21,12,242,259,1
0,0,0,0,0,0,26,1
0,0,0,22,13,74,26099,0
0,0,0,16,4,24,26108,0
1,0,0,65,36,113,26114,0
1,0,0,8,7,65,26132,0
0,0,1,3,1,0,26137,0
2,1,0,10,2,42,26165,0
0,0,0,1,0,0,26169,0
0,0,0,1,0,0,26171,0
0,0,0,0,0,1,26178,0
0,0,0,1,1,56,26180,0
2,0,0,17,12,55,26187,0
0,0,0,1,0,0,2619,0
0,0,0,0,0,0,26199,0
0,0,0,5,2,397,262,1
0,0,0,1,0,8,26217,0
0,0,0,2,2,14,26229,0
0,0,0,1,0,0,26235,0
0,0,0,1,0,0,26242,0
0,0,0,8,2,248,26249,0
1,0,0,1,0,7,26264,0
0,0,0,1,0,0,26268,0
0,0,0,6,4,0,26274,0
0,0,0,2,1,0,26280,0
0,0,0,0,0,0,26285,0
0,0,0,1,0,0,263,1
0,0,0,1,0,0,26310,0
0,0,0,2,1,0,26311,0
0,0,0,1,0,0,26314,0
0,0,0,0,0,0,26324,0
0,0,0,1,0,0,26329,0
1,0,0,4,4,19,26331,0
0,0,0,1,0,0,26334,0
4,0,0,56,20,825,26340,0
0,0,0,4,3,10,26352,0
0,0,0,1,0,0,26363,0
0,0,1,21,16,72,26373,0
0,0,0,1,0,0,26383,0
1,0,0,37,23,40,26387,0
0,0,0,0,0,0,26393,0
0,0,0,6,5,7,26398,0
3,0,1,58,8,354,264,1
1,0,0,16,5,260,26404,0
1,0,1,23,15,56,26406,0
0,0,0,1,0,0,26409,0
2,0,21,16,7,186,26433,0
0,0,0,3,2,181,26436,0
0,0,0,0,0,0,26440,0
0,0,0,16,4,24,26466,0
0,0,0,2,1,42,26482,0
0,0,0,0,0,11,26487,0
2,0,2,61,33,81,265,1
1,0,0,50,25,81,26515,0
0,0,0,80,67,67,26523,0
0,0,0,12,12,13,26526,0
0,0,0,2,1,0,26532,0
0,0,0,1,0,0,26540,0
2,0,0,34,1,297,26543,0
